building_start_year,district,estate,house_id,housing_area,housing_status,metro,orientation,price,rental_mode,rooms,shi,ting,title,total_floor,wei,zone
1998,萧山区,山北新苑,1.03103E+11,89,暂无数据,距地铁2号线杭发厂1011米,南,4200,暂无数据,3室2厅1卫,3,2,山北新苑 3室2厅 4200元,6,1,萧山市区
1995,萧山区,育才东苑,1.03103E+11,72,暂无数据,暂无数据,南,2800,暂无数据,2室1厅1卫,2,1,育才东苑 2室1厅 2800元,6,1,萧山市区
2000,江干区,三里亭一区,1.03103E+11,70.67,目前出租,暂无数据,南,3600,整租,2室1厅1卫  整租,2,1,三里亭一区 2室1厅 3600元,7,1,三里亭
暂无数据,萧山区,丰润家园,1.03103E+11,70,目前闲置,暂无数据,南,4100,整租,2室1厅1卫  整租,2,1,丰润家园朝南两居室，装修清爽明亮,25,1,萧山新城区
1995,江干区,三里亭苑二区,1.03103E+11,36,目前闲置,暂无数据,南,3000,整租,1室1厅1卫  整租,1,1,上下楼很方便，价格便宜，通风透气，拎包入住,7,1,三里亭
1989,江干区,采荷小区金谷邨,1.03103E+11,56,暂无数据,距地铁2号线庆菱路669米,东南 南,3600,暂无数据,2室1厅1卫,2,1,采荷小区金谷邨 2室1厅 3600元,7,1,采荷
2016,江干区,龙湖名景台二期,1.03103E+11,89,目前闲置,暂无数据,南,3400,整租,3室1厅1卫  整租,3,1,龙湖名景台二期 3室1厅 3400元,16,1,丁桥
板楼,江干区,郡枫绿园西区,1.03103E+11,63,目前闲置,暂无数据,南,2500,整租,2室1厅1卫  整租,2,1,郡枫绿园小两房，全明户型，楼层视野好，房东诚租。,17,1,丁桥
2007,萧山区,佳境天城境合苑,1.03103E+11,53,暂无数据,距地铁2号线振宁路138米,南,5200,暂无数据,2室1厅1卫,2,1,佳境天城境合苑 2室1厅 5200元,11,1,钱江世纪城
2011,萧山区,广泽小区,1.03103E+11,66,暂无数据,暂无数据,南,2000,暂无数据,2室1厅1卫,2,1,广泽小区 2室1厅 2000元,6,1,南部卧城
2003,江干区,三里家园二区,1.03103E+11,88.09,目前闲置,暂无数据,南,4500,整租,2室2厅2卫  整租,2,2,朝南大两房 通风透气 干净舒适 拎包入住，带大露台呦,6,2,三里亭
1996,江干区,三里亭苑三区,1.03103E+11,53,目前出租,暂无数据,南,3400,整租,2室1厅1卫  整租,2,1,中间楼层 拎包入住 价格低  交通便利,6,1,三里亭
2013,萧山区,江南明城,1.03103E+11,127.98,目前闲置,距地铁2号线振宁路138米,南,5300,整租,2室2厅1卫  整租,2,2,出门就是地铁口 看房方便可以做公司宿舍 房源真实,12,1,钱江世纪城
塔楼,萧山区,凯丽晶座,1.03103E+11,55.92,目前闲置,暂无数据,南,3200,整租,2室2厅1卫  整租,2,2,凯丽晶座 2室2厅 3200元,22,1,萧山开发区
2003,江干区,三里家园二区,1.03103E+11,52.2,目前闲置,暂无数据,南,3000,整租,1室1厅1卫  整租,1,1,三里家园二区 1室1厅 3000元,6,1,三里亭
2010,江干区,蔚蓝公寓,1.03103E+11,87.02,暂无数据,距地铁4号线景芳360米,南,8700,暂无数据,2室2厅1卫,2,2,蔚蓝公寓 2室2厅 8700元,15,1,景芳
2015,江干区,万象城悦玺,1.03103E+11,48.19,目前闲置,距地铁4号线江锦路264米,南,6200,整租,1室0厅1卫  整租,1,0,万象城悦玺，小户型开发商统一装修的公寓，万象城公寓,46,1,钱江新城
2016,江干区,龙湖名景台一期,1.03103E+11,89,目前出租,暂无数据,南,3600,整租,3室1厅1卫  整租,3,1,龙湖名景台 温馨装修 三室两厅 拎包入住,16,1,丁桥
2017,萧山区,绿都御景蓝湾,1.03103E+11,70,暂无数据,暂无数据,南 北,2300,暂无数据,2室1厅1卫,2,1,绿都御景蓝湾 2室1厅 2300元,23,1,义桥
2005,萧山区,美之园西区,1.03103E+11,139,暂无数据,暂无数据,南 北,5000,暂无数据,4室2厅2卫,4,2,美之园西区 4室2厅 5000元,5,2,湘湖
2003,江干区,三里家园二区,1.03103E+11,49.41,目前闲置,暂无数据,南,3100,整租,2室1厅1卫  整租,2,1,舒适两房 简单装修 通风透气 拎包入住,6,1,三里亭
塔楼,萧山区,凯丽晶座,1.03103E+11,100,目前出租,暂无数据,南,4500,整租,3室1厅1卫  整租,3,1,凯丽晶座 3室1厅 4500元,22,1,萧山开发区
2016,江干区,金沙国际,1.03103E+11,75,目前闲置,暂无数据,南,3500,整租,2室1厅1卫  整租,2,1,金沙国际 2室1厅 3500元,26,1,金沙湖
1985,江干区,双菱新村,1.03103E+11,48,目前出租,距地铁2号线庆菱路487米,南 北,4000,整租,2室1厅1卫  整租,2,1,新上双菱新村  近采一 中间楼层  装修清爽  南北通透,6,1,采荷
2009,江干区,金基晓庐,1.03103E+11,135,暂无数据,距地铁4号线江锦路1167米,南,9000,暂无数据,3室2厅2卫,3,2,金基晓庐 3室2厅 9000元,30,2,钱江新城
1995,江干区,景芳四区,1.03103E+11,80.74,目前闲置,距地铁4号线新塘713米,南,4800,整租,3室1厅1卫  整租,3,1,家电家具齐全   生活配套齐全交通方便  适合居家生活,7,1,景芳
1997,江干区,海景城花园,1.03103E+11,76,目前闲置,暂无数据,南,3000,整租,2室1厅1卫  整租,2,1,海景城花园两房，采光好，价格实惠,6,1,九堡
2011,萧山区,绿城丁香公馆,1.03103E+11,169,暂无数据,暂无数据,南,10000,暂无数据,3室2厅2卫,3,2,绿城丁香公馆 3室2厅 10000元,15,2,湘湖
2016,萧山区,绿都御景蓝湾,1.03103E+11,111,目前闲置,暂无数据,西 北,3700,整租,3室2厅2卫  整租,3,2,绿都御景蓝湾 3室2厅 3700元,26,2,义桥
2017,萧山区,金地德圣中心,1.03103E+11,50,暂无数据,暂无数据,南,3400,暂无数据,1室1厅1卫,1,1,金地德圣中心 1室1厅 3400元,27,1,萧山市区
2016,萧山区,顺发旭辉国悦府,1.03103E+11,125,暂无数据,距地铁2号线杭发厂769米,南,6800,暂无数据,4室1厅2卫,4,1,顺发旭辉国悦府 4室1厅 6800元,18,2,萧山市区
2008,江干区,伊萨卡国际城排屋,1.03103E+11,230.91,目前闲置,距地铁地铁1号线(下沙江滨-湘湖)下沙江滨586米,南,8600,整租,5室2厅4卫  整租,5,2,伊萨卡排屋出租简单装修房东诚心,3,4,沿江北
1995,江干区,三里亭苑四区,1.03103E+11,52.77,目前闲置,暂无数据,南,3500,整租,2室1厅1卫  整租,2,1,"配套齐全,出行便利,干净清爽,随时看房，价格较低",7,1,三里亭
塔楼,萧山区,凯丽晶座,1.03103E+11,76.1,暂无数据,暂无数据,南,5500,暂无数据,3室1厅2卫,3,1,凯丽晶座 3室1厅 5500元,22,2,萧山开发区
2017,萧山区,金地德圣中心,1.03104E+11,50,暂无数据,暂无数据,南,3500,暂无数据,1室1厅1卫,1,1,金地德圣中心 1室1厅 3500元,27,1,萧山市区
2005,江干区,三里新城兰苑,1.03103E+11,124,目前出租,距地铁1号线(临平-湘湖)闸弄口748米,南 北,6000,整租,3室1厅2卫  整租,3,1,三里亭 地铁口 清爽三房 带车位 诚心出租 拎包入住,6,2,三里亭
1999,江干区,建塘家苑,1.03103E+11,75,暂无数据,暂无数据,南 北,2800,暂无数据,2室1厅1卫,2,1,建塘家苑 2室1厅 2800元,16,1,丁桥
2016,江干区,置鼎明珠1号,1.03103E+11,40,暂无数据,暂无数据,南 北,3200,暂无数据,2室1厅1卫,2,1,置鼎明珠1号 2室1厅 3200元,10,1,丁桥
2016,江干区,龙湖名景台一期,1.03103E+11,136,目前闲置,暂无数据,南,4500,整租,4室1厅2卫  整租,4,1,龙湖名景台 大面积135方毛坯4房2卫,16,2,丁桥
暂无数据,萧山区,广泽小区,1.03103E+11,77,暂无数据,暂无数据,南 北,2900,暂无数据,3室1厅1卫,3,1,广泽小区 3室1厅 2900元,33,1,南部卧城
1995,萧山区,育才东苑,1.03103E+11,76.41,暂无数据,暂无数据,南,4000,暂无数据,2室1厅1卫,2,1,育才东苑 2室1厅 4000元,6,1,萧山市区
2006,江干区,晨光绿苑南苑,1.03103E+11,159.99,暂无数据,距地铁1号线(临平-湘湖)九堡661米,南,6500,暂无数据,7室1厅2卫,7,1,晨光绿苑南苑 7室1厅 6500元,8,2,九堡
2007,萧山区,佳境天城天合苑,1.03103E+11,60,暂无数据,距地铁2号线振宁路215米,南,3400,暂无数据,2室1厅1卫,2,1,佳境天城天合苑 2室1厅 3400元,10,1,钱江世纪城
1997,江干区,北银公寓,1.03103E+11,39.1,目前闲置,距地铁地铁1号线(下沙江滨-湘湖)文泽路664米,南,2400,整租,1室1厅1卫  整租,1,1,简单装修  拎包入住  随时可看  地铁口,7,1,高教园区西
1994,江干区,裕园公寓,1.03103E+11,44,目前闲置,距地铁地铁1号线(下沙江滨-湘湖)文泽路1103米,南,2500,整租,1室1厅1卫  整租,1,1,裕园公寓 1室1厅 2500元,7,1,高教园区西
2011,江干区,天阳观筑,1.03103E+11,89,暂无数据,暂无数据,南 北,3300,暂无数据,3室1厅1卫,3,1,天阳观筑 3室1厅 3300元,17,1,丁桥
2015,江干区,金地格林格林,1.03102E+11,77,暂无数据,暂无数据,南,2200,暂无数据,2室1厅1卫,2,1,金地格林格林 2室1厅 2200元,17,1,丁桥
2016,江干区,宋都东郡国际,1.03103E+11,89,暂无数据,暂无数据,南,4350,暂无数据,3室1厅1卫,3,1,宋都东郡国际 3室1厅 4350元,18,1,大学城北
2009,萧山区,金域三江,1.03103E+11,98.5,暂无数据,暂无数据,南 北,3000,暂无数据,2室2厅1卫,2,2,金域三江 2室2厅 3000元,18,1,义桥
2017,萧山区,绿都御景蓝湾,1.03103E+11,89,暂无数据,暂无数据,南 北,2800,暂无数据,3室2厅2卫,3,2,绿都御景蓝湾 3室2厅 2800元,27,2,义桥
1998,萧山区,山北新苑,1.03103E+11,88.26,目前闲置,距地铁2号线杭发厂969米,南,3500,整租,2室1厅1卫  整租,2,1,萧山市区，山北新苑两室两厅！家具家电齐全，看房方便,6,1,萧山市区
2007,萧山区,中誉现代城,1.03103E+11,61.47,目前闲置,暂无数据,南,3000,整租,2室1厅1卫  整租,2,1,中誉现代城 2室1厅 3000元,17,1,萧山新城区
2013,江干区,克拉公馆,1.03103E+11,89.9,目前闲置,暂无数据,南,5600,整租,3室1厅1卫  整租,3,1,交通便利，电梯房，中间楼层，采光好,16,1,三里亭
1995,江干区,三里亭苑四区,1.03103E+11,58,目前出租,暂无数据,南,3600,整租,2室1厅1卫  整租,2,1,三里亭 四区，闸弄口，清爽两房，看房提前联系,7,1,三里亭
塔楼,萧山区,凯丽晶座,1.03103E+11,55.92,暂无数据,暂无数据,南,4500,暂无数据,3室1厅1卫,3,1,凯丽晶座 3室1厅 4500元,22,1,萧山开发区
暂无数据,萧山区,宁东北苑,1.03103E+11,100,暂无数据,暂无数据,南,5000,暂无数据,3室1厅1卫,3,1,宁东北苑 3室1厅 5000元,20,1,钱江世纪城
2007,江干区,多蓝水岸碧海苑,1.03103E+11,125,暂无数据,距地铁地铁1号线(下沙江滨-湘湖)下沙江滨1175米,东南,4600,暂无数据,3室1厅1卫,3,1,多蓝水岸碧海苑 3室1厅 4600元,27,1,沿江北
2009,江干区,金基晓庐,1.03103E+11,111,暂无数据,暂无数据,南,10000,暂无数据,3室2厅1卫,3,2,金基晓庐 3室2厅 10000元,30,1,钱江新城
2017,江干区,杭州港龙城,1.03103E+11,53.87,目前闲置,距地铁1号线(临平-湘湖)彭埠284米,南,3800,整租,1室1厅1卫  整租,1,1,地铁口旁边，精装一室出租，拎包入住,10,1,城东新城
2018,江干区,城发云锦城,1.03103E+11,86.43,目前闲置,暂无数据,南,1800,整租,3室2厅1卫  整租,3,2,毛坯三房，房东诚心出租的，看房方便,23,1,丁桥
2015,萧山区,世纪晶钻,1.03103E+11,46.38,目前闲置,距地铁2号线飞虹路815米,西南,3500,整租,1室1厅1卫  整租,1,1,世纪晶钻 稀 缺户型边套 精装修单身公寓 拎包入住,26,1,钱江世纪城
2017,萧山区,绿都金域东方,1.03103E+11,120,暂无数据,暂无数据,南,3000,暂无数据,4室2厅2卫,4,2,绿都金域东方 4室2厅 3000元,6,2,义桥
2006,江干区,沁园雅舍,1.03103E+11,127,目前闲置,距地铁1号线(临平-湘湖)闸弄口526米,南,6900,整租,3室2厅2卫  整租,3,2,沁园雅舍 3室2厅 6900元,15,2,三里亭
暂无数据,萧山区,新丽名苑,1.03103E+11,70,暂无数据,暂无数据,南,2400,暂无数据,2室1厅1卫,2,1,新丽名苑 2室1厅 2400元,24,1,萧山开发区
2014,江干区,东方君悦,1.03103E+11,68.33,目前闲置,距地铁4号线江锦路610米,南,8800,整租,1室1厅1卫  整租,1,1,东方君悦，钱江新城酒店式公寓，家具家电齐全,26,1,钱江新城
2012,江干区,钱塘航空大厦,1.03103E+11,122.43,目前闲置,距地铁4号线城星路442米,西 西北,11500,整租,1室1厅0卫  整租,1,1,钱塘航空大厦 1室1厅 11500元,38,0,钱江新城
2014,江干区,东方君悦,1.03103E+11,80.36,目前闲置,距地铁4号线江锦路591米,东北,11000,整租,1室1厅1卫  整租,1,1,东方君悦 1室1厅 11000元,34,1,钱江新城
2010,江干区,绿城玉兰公寓,1.03103E+11,87,暂无数据,距地铁1号线(临平-湘湖)闸弄口1196米,南 北,5800,暂无数据,3室2厅1卫,3,2,绿城玉兰公寓 3室2厅 5800元,17,1,三里亭
2012,江干区,红街天城公寓,1.03103E+11,64.1,目前闲置,距地铁4号线新风824米,南,4800,整租,1室1厅1卫  整租,1,1,火车东站旁一室一厅公寓可办公居住民水民电,18,1,火车东站
2017,萧山区,郡望府,1.03103E+11,85,暂无数据,暂无数据,南,3200,暂无数据,3室2厅1卫,3,2,郡望府 3室2厅 3200元,27,1,萧山开发区
2017,萧山区,绿都御景蓝湾,1.03103E+11,110,暂无数据,暂无数据,南 北,2500,暂无数据,4室2厅2卫,4,2,毛坯房整租，四室两厅一厨两卫!,11,2,义桥
2018,萧山区,北辰奥园,1.03103E+11,89,暂无数据,暂无数据,南,4000,暂无数据,3室1厅2卫,3,1,北辰奥园 3室1厅 4000元,34,2,南部卧城
2016,萧山区,滨江金色江南,1.03103E+11,89,目前闲置,距地铁2号线飞虹路727米,南,7000,整租,3室2厅2卫  整租,3,2,滨江金色江南 3室2厅 7000元,27,2,钱江世纪城
2005,江干区,广利佳苑,1.03103E+11,103.78,目前自住,暂无数据,南,5500,整租,2室2厅1卫  整租,2,2,广利佳苑 2室2厅 5500元,11,1,三里亭
2003,江干区,三里家园二区,1.03103E+11,82.84,目前闲置,暂无数据,南,4500,整租,2室1厅1卫  整租,2,1,三里亭，清爽两房，两房朝南，楼层好，适合家人居住。,6,1,三里亭
暂无数据,萧山区,丰润家园,1.03103E+11,70,暂无数据,暂无数据,南,5000,暂无数据,2室1厅2卫,2,1,两室一厅精装修出租，可立即拎包入住,25,2,萧山新城区
暂无数据,萧山区,新丽名苑,1.03103E+11,70,暂无数据,暂无数据,南,2900,暂无数据,2室2厅1卫,2,2,新丽名苑 2室2厅 2900元,24,1,萧山开发区
2017,江干区,新城红郡,1.03103E+11,90,暂无数据,暂无数据,南,2200,暂无数据,3室2厅1卫,3,2,新城红郡 3室2厅 2200元,24,1,丁桥
2005,江干区,华元云水苑,1.03103E+11,49,暂无数据,距地铁地铁1号线(下沙江滨-湘湖)云水326米,南,2200,暂无数据,1室1厅1卫,1,1,华元云水苑 1室1厅 2200元,11,1,高教园区东
2010,江干区,联合格里,1.03103E+11,90,暂无数据,暂无数据,南,3000,暂无数据,3室2厅1卫,3,2,联合格里 3室2厅 3000元,7,1,丁桥
2016,江干区,赵家花苑,1.03103E+11,74,目前闲置,暂无数据,南,2800,整租,2室1厅1卫  整租,2,1,简装两房，拎包入住，旁边中医院，电梯房,15,1,丁桥
暂无数据,萧山区,广泽小区,1.03103E+11,50,暂无数据,暂无数据,东南,2200,暂无数据,2室1厅1卫,2,1,广泽小区 2室1厅 2200元,6,1,南部卧城
1999,萧山区,恒泰御庭园,1.03103E+11,144,暂无数据,距地铁2号线振宁路808米,南 北,5000,暂无数据,3室2厅2卫,3,2,恒泰御庭园 3室2厅 5000元,6,2,钱江世纪城
1995,江干区,三里亭苑二区,1.03103E+11,35.31,目前闲置,暂无数据,南,2800,整租,1室1厅1卫  整租,1,1,三里亭苑二区 1室1厅 2800元,7,1,三里亭
2007,萧山区,知稼苑,1.03103E+11,173,暂无数据,暂无数据,南,5500,暂无数据,3室2厅2卫,3,2,知稼苑 3室2厅 5500元,24,2,萧山市区
2008,江干区,伊萨卡国际城浩泽园,1.03103E+11,199.52,暂无数据,距地铁地铁1号线(下沙江滨-湘湖)下沙江滨600米,南 北,7000,暂无数据,5室2厅2卫,5,2,伊萨卡国际城浩泽园 5室2厅 7000元,34,2,沿江北
2016,江干区,置鼎明珠1号,1.03103E+11,46.81,暂无数据,暂无数据,南,3000,暂无数据,2室1厅1卫,2,1,置鼎明珠1号 2室1厅 3000元,10,1,丁桥
2012,江干区,罗兰春天,1.03103E+11,82.64,目前闲置,暂无数据,南 北,6000,整租,3室2厅1卫  整租,3,2,罗兰春天，装修清爽，LOFT户型新颖。,16,1,九堡
2016,江干区,浙商国际中心,1.03103E+11,92.54,目前闲置,暂无数据,北,5500,整租,2室1厅1卫  整租,2,1,浙商国际，单身或者情侣居住，居住舒爽,13,1,笕桥
2013,江干区,金色黎明一期,1.03103E+11,121.18,目前闲置,暂无数据,南 北,6500,整租,3室2厅2卫  整租,3,2,环境优美，交通便利，品质滨江，生活无忧,16,2,笕桥
1988,江干区,采荷绿萍,1.03103E+11,65.83,目前闲置,距地铁2号线庆春广场494米,南,4200,整租,2室1厅1卫  整租,2,1,采荷绿萍  中间楼层  采光好  周配套齐全,7,1,南肖埠
板楼,江干区,万科魅力之城,1.03103E+11,88.48,目前闲置,暂无数据,南,4000,整租,2室1厅1卫  整租,2,1,万科魅力之城 2室1厅 4000元,17,1,九堡
2013,萧山区,德圣博奥城,1.03103E+11,76.73,目前闲置,暂无数据,南,5300,整租,2室2厅1卫  整租,2,2,萧山宝龙广场 博奥城      两房两厅一卫  出租,30,1,萧山新城区
2009,萧山区,通和戈雅公寓,1.03103E+11,89.63,暂无数据,暂无数据,南,5000,暂无数据,3室2厅1卫,3,2,通和戈雅公寓 3室2厅 5000元,32,1,闻堰
2016,萧山区,滨江金色江南,1.03103E+11,89.19,目前自住,距地铁2号线飞虹路733米,东 南,8500,整租,3室2厅1卫  整租,3,2,滨江金色江南 3室2厅 8500元,27,1,钱江世纪城
2013,萧山区,凯丽晶座,1.03103E+11,55.96,暂无数据,暂无数据,南,5500,暂无数据,2室2厅2卫,2,2,凯丽晶座 2室2厅 5500元,22,2,萧山开发区
2003,江干区,三里家园二区,1.03103E+11,76.78,目前闲置,暂无数据,南,3800,整租,2室2厅1卫  整租,2,2,三里家园二区 2室2厅 3800元,6,1,三里亭
2018,江干区,万科中央公园,1.03103E+11,109.46,目前闲置,暂无数据,南 北,7800,整租,3室2厅2卫  整租,3,2,万科大三房，带车位，随时看房。,16,2,城东新城
2004,萧山区,众安山水苑二期,1.03103E+11,217,暂无数据,暂无数据,东南 南,7200,暂无数据,5室3厅3卫,5,3,众安山水苑二期 5室3厅 7200元,11,3,萧山市区
2007,萧山区,佳境天城境合苑,1.03103E+11,53,暂无数据,距地铁2号线振宁路14米,南,5500,暂无数据,2室2厅2卫,2,2,佳境天城境合苑 2室2厅 5500元,11,2,钱江世纪城
2006,江干区,沁园雅舍,1.03103E+11,51,目前出租,距地铁1号线(临平-湘湖)闸弄口441米,南,3300,整租,1室0厅1卫  整租,1,0,闸弄口地铁口，同价格面积大了20平加量不加价。,15,1,三里亭
1999,江干区,建塘家苑,1.03103E+11,103,目前闲置,暂无数据,南,3700,整租,3室1厅2卫  整租,3,1,近华丰 整租三房 采光好 空房出租 租一家人,12,2,丁桥
2005,江干区,天元公寓,1.03103E+11,55,暂无数据,暂无数据,南,3400,暂无数据,2室2厅2卫,2,2,天元公寓 2室2厅 3400元,15,2,工业园南
2016,江干区,置鼎明珠1号,1.03103E+11,41,暂无数据,暂无数据,北,3000,暂无数据,2室1厅1卫,2,1,置鼎明珠1号 2室1厅 3000元,10,1,丁桥
暂无数据,江干区,三卫家园北苑,1.03103E+11,60,暂无数据,暂无数据,南,3200,暂无数据,2室1厅1卫,2,1,精装全配 家电家具齐全 拎包入住 随时看房,16,1,九堡
2016,江干区,龙湖名景台一期,1.03103E+11,83,目前闲置,暂无数据,南,3000,整租,2室2厅1卫  整租,2,2,两房大客厅，采光好，物业严格，绿化好。,16,1,丁桥
2002,江干区,景芳六区,1.03103E+11,128,目前闲置,距地铁4号线景芳649米,南,7500,整租,3室2厅2卫  整租,3,2,新塘地铁口简装四居室房子是跃层的很好拎包入住,6,2,景芳
2017,江干区,杭州港龙城,1.03103E+11,55,暂无数据,距地铁1号线(临平-湘湖)彭埠284米,南,4500,暂无数据,1室1厅1卫,1,1,港龙城 自住装修 家电齐全 拎包入住 交通便利,10,1,城东新城
2018,江干区,龙湖武林九里,1.03103E+11,89.68,目前闲置,暂无数据,南 北,4050,整租,3室2厅2卫  整租,3,2,武林九里精装干净清爽三居室，边套，可直接拎包入住。,17,2,丁桥
1993,萧山区,回澜南园,1.03104E+11,93,暂无数据,暂无数据,南,3600,暂无数据,3室2厅2卫,3,2,回澜南园 3室2厅 3600元,6,2,萧山市区
2007,萧山区,威尼斯水城,1.03103E+11,188.81,目前出租,暂无数据,南 北,6000,整租,5室3厅3卫  整租,5,3,湘湖景区  南北通 简装干净清爽,5,3,湘湖
2010,江干区,绿城玉兰公寓,1.03103E+11,87.63,目前闲置,暂无数据,南,4500,整租,2室1厅1卫  整租,2,1,闸弄口 清爽两房 绿城物业 业主自住装修，看房方便。,18,1,三里亭
2016,萧山区,萧山宝龙城市广场,1.03103E+11,42.28,暂无数据,暂无数据,南,3200,暂无数据,1室0厅1卫,1,0,萧山宝龙城市广场 1室0厅 3200元,27,1,萧山新城区
2016,江干区,中海御道,1.03103E+11,139.53,暂无数据,暂无数据,南 北,14500,暂无数据,3室2厅2卫,3,2,中海御道 3室2厅 14500元,30,2,钱江新城
2016,江干区,中海御道,1.03103E+11,112,暂无数据,暂无数据,南 北,8800,暂无数据,3室2厅2卫,3,2,中海御道 3室2厅 8800元,35,2,钱江新城
2016,江干区,中豪七格,1.03103E+11,50.43,目前闲置,暂无数据,南,3500,整租,2室1厅2卫  整租,2,1,中豪七格跃层两室价格实惠房东诚心出租,23,2,工业园南
1998,江干区,景芳六区,1.03103E+11,84.97,暂无数据,距地铁4号线新塘569米,南,6000,暂无数据,3室1厅1卫,3,1,景芳六区 3室1厅 6000元,6,1,景芳
2004,江干区,大世界五金城,1.03103E+11,167.5,暂无数据,暂无数据,南,6000,暂无数据,4室2厅1卫,4,2,大世界五金城 4室2厅 6000元,5,1,笕桥
2000,江干区,北城铭苑,1.03103E+11,61.56,暂无数据,暂无数据,南,2500,暂无数据,2室1厅1卫,2,1,北城铭苑 2室1厅 2500元,16,1,丁桥
板楼,江干区,南肖埠北景东苑,1.03103E+11,85.78,目前自住,距地铁4号线景芳856米,南 北,5000,整租,3室1厅1卫  整租,3,1,北景东苑标准三房户型，南北通透，全明户型,7,1,华家池
2016,江干区,浙商国际中心,1.03103E+11,50,暂无数据,暂无数据,南,3500,暂无数据,1室1厅1卫,1,1,浙商国际中心 1室1厅 3500元,13,1,笕桥
2012,江干区,钱塘航空大厦,1.03103E+11,61.1,暂无数据,距地铁4号线城星路499米,东南,5000,暂无数据,2室1厅1卫,2,1,钱塘航空大厦 2室1厅 5000元,37,1,钱江新城
2018,江干区,城发云锦城,1.03103E+11,89,目前闲置,暂无数据,南,2800,整租,4室1厅2卫  整租,4,1,四房，家电齐全，拎包入住的，看房方便。,23,2,丁桥
板楼,江干区,柏悦公馆,1.03103E+11,44,暂无数据,暂无数据,西北,2300,暂无数据,1室1厅1卫,1,1,柏悦公馆 1室1厅 2300元,16,1,丁桥
2005,江干区,圆梦园,1.03103E+11,58.68,目前闲置,暂无数据,南,3300,整租,2室2厅1卫  整租,2,2,简装自住装修，一楼带花园，房东诚心出租,7,1,九堡
2008,江干区,伊萨卡国际城排屋,1.03103E+11,200,暂无数据,距地铁地铁1号线(下沙江滨-湘湖)下沙江滨323米,东南,14000,暂无数据,5室2厅3卫,5,2,伊萨卡国际城排屋 5室2厅 14000元,3,3,沿江北
2009,江干区,左邻右舍,1.03103E+11,121,目前出租,距地铁1号线(临平-湘湖)客运中心684米,南,4800,整租,3室2厅1卫  整租,3,2,左邻右舍大三房，简单装修，对租客没要求,18,1,九堡
2010,萧山区,金帝金色钱塘,1.03103E+11,139,目前闲置,距地铁1号线(临平-湘湖)滨康路878米,南,8000,整租,5室1厅2卫  整租,5,1,金帝金色钱塘 地铁一号线 4居室,18,2,萧山新城区
2010,萧山区,金帝金色钱塘,1.03103E+11,105.7,目前闲置,距地铁1号线(临平-湘湖)滨康路932米,南 北,6000,整租,3室2厅1卫  整租,3,2,金色钱塘   精装修   看房联系  诚心出租,18,1,萧山新城区
2015,萧山区,中国铁建青秀城,1.03103E+11,89,暂无数据,暂无数据,南,5200,暂无数据,3室2厅2卫,3,2,中国铁建青秀城 3室2厅 5200元,18,2,萧山新城区
2015,萧山区,华瑞晴庐,1.03103E+11,89.83,目前出租,暂无数据,南,5300,整租,3室2厅1卫  整租,3,2,华瑞晴庐品质小区，中间套，家具家电齐全，拎包入住。,33,1,萧山新城区
2016,江干区,中豪七格,1.03103E+11,39.31,目前闲置,暂无数据,南,3400,整租,2室1厅1卫  整租,2,1,中豪七格 酒店式公寓 两室跃层 随便带看 拎包入住,23,1,工业园南
2003,江干区,三里家园二区,1.03103E+11,53.27,目前闲置,暂无数据,南,3500,整租,2室1厅1卫  整租,2,1,三里亭清爽两房 家具家电齐全 拎包入住,6,1,三里亭
2011,萧山区,广悦公寓,1.03104E+11,100,暂无数据,暂无数据,南,4600,暂无数据,3室2厅2卫,3,2,广悦公寓 3室2厅 4600元,6,2,南部卧城
2008,萧山区,君悦丽景,1.03103E+11,46.48,目前闲置,距地铁1号线(临平-湘湖)滨康路1127米,北,3000,整租,1室1厅1卫  整租,1,1,此房楼层好，生活配套齐全，户型方正，采光充足,24,1,萧山新城区
2010,江干区,保利江语海,1.03103E+11,112,暂无数据,距地铁地铁1号线(下沙江滨-湘湖)云水1083米,南,4800,暂无数据,3室2厅2卫,3,2,保利江语海 3室2厅 4800元,34,2,高教园区东
1996,江干区,三里亭苑三区,1.03103E+11,50.46,目前闲置,暂无数据,南,3400,整租,2室1厅1卫  整租,2,1,三里亭苑三区 2室1厅 3400元,7,1,三里亭
2012,江干区,盛泰名都中心,1.03103E+11,52.48,目前出租,距地铁地铁1号线(下沙江滨-湘湖)文泽路591米,南,2500,整租,1室0厅1卫  整租,1,0,盛泰名都中心 1室0厅 2500元,28,1,高教园区西
1990,江干区,浙江大学华家池校区,1.03103E+11,89.19,目前闲置,暂无数据,南,6000,整租,4室2厅2卫  整租,4,2,浙江大学华家池校区  环境优美  人文气息浓厚,6,2,华家池
1999,江干区,南肖埠北景西苑,1.03103E+11,93.37,目前闲置,距地铁2号线庆菱路913米,南,6500,整租,3室1厅1卫  整租,3,1,南肖埠北景西苑，拎包入住，三房出租,7,1,南肖埠
2012,江干区,钱塘航空大厦,1.03102E+11,384,目前闲置,距地铁4号线城星路442米,南,40320,整租,1室0厅0卫  整租,1,0,诚心出租，视野不错，钱塘航空写字楼,38,0,钱江新城
2005,江干区,水岸帝景,1.03103E+11,142.75,目前闲置,暂无数据,南,11500,整租,3室2厅2卫  整租,3,2,水岸帝景 3室2厅 11500元,32,2,钱江新城
