estate,total_time
滨江区钱龙名汇公馆,55
西湖区浪漫和山,52
西湖区华元和庄,53
西湖区西溪蝶园二期,53
拱墅区九龙仓碧玺,45
江干区景芳一区,38
余杭区嘉丰万悦城,92
西湖区留下西苑,50
下城区东清巷,33
西湖区翠苑二区,46
萧山区萧绍路1602号,63
西湖区文一路95号,42
上城区黄工厂弄,39
萧山区姚江岸家园,96
余杭区相寓,93
余杭区香洲里,62
江干区沁园雅舍,27
江干区东海柠檬郡,46
西湖区文三新村,21
江干区三里亭一区,38
西湖区绿城丁香公寓,34
江干区金秋花园,33
拱墅区锦秀兰庭,48
上城区光复路小区,23
江干区南肖埠景和苑,35
江干区天元公寓,61
西湖区嘉南公寓影池居,46
拱墅区庆云居,45
西湖区西湖花园南苑,57
余杭区灵峰苑,58
拱墅区大关东二苑,38
上城区茶啾弄,37
余杭区清合嘉园东区,101
余杭区新城峯璟,62
萧山区顺发旭辉国悦府,61
下城区北景园莲趣苑,48
萧山区明意公寓,108
西湖区协安紫郡,73
西湖区马塍路19号,23
余杭区万科杭宸,75
江干区东港嘉苑三区,40
萧山区萧山宝龙城市广场,61
江干区联合格里,63
滨江区浮力森林苑,54
江干区钱江新城瑞晶国际,38
下城区庆晖公寓,33
江干区阳光逸城,59
江干区采荷路62号,38
滨江区新州花苑,46
余杭区北湖绿洲花园,86
余杭区广厦天都城天澜,61
下城区景洲公寓,57
下城区江山弄,14
下城区竹竿巷,23
余杭区风雅乐府,73
余杭区瑞金华丽嘉苑,68
余杭区万科桂语里,58
江干区高沙百盛苑,56
西湖区莫干山路79号,19
下城区环西新村,14
下城区青园小区,19
下城区香石公寓,44
余杭区林溪闲庭,66
萧山区华瑞湘湖林语,66
余杭区欣北钱江国际广场,105
西湖区同人广场,39
西湖区西溪蝶园一期,53
余杭区良渚文化村白鹭郡东,78
下城区灯芯巷,14
江干区盛泰名都中心,62
西湖区莲花新村东区,45
西湖区松木场河西,25
余杭区融创金成西溪海,75
萧山区南欣公寓,70
下城区中江花园,30
江干区罗兰春天,67
拱墅区正中尚品庭院,41
萧山区东方一品公寓,53
拱墅区和睦院,40
西湖区莲花新村西区,47
上城区滨江金色家园,40
余杭区溪悦宸府,65
拱墅区绿城西子紫兰公寓,30
上城区凤山路125号,46
余杭区东冠逸家,71
下城区中山北路小区,12
下城区领骏世界,37
余杭区广和美地兰庭,97
拱墅区教工里,50
西湖区三坝雅苑,41
上城区翰林花园,31
下城区红枫苑,28
萧山区重汽嘉泽苑,90
滨江区时代长岛之春,83
拱墅区清水公寓,35
西湖区益乐路58号,33
上城区长堤明苑,32
上城区名珏公寓,31
余杭区将军殿弄,96
富阳区梓树花苑,105
拱墅区莫干山路348号,44
西湖区蓝爵白马尊邸,56
江干区广大融城印象,72
西湖区文一路60号,42
滨江区江南铭庭,57
西湖区下宁巷,33
萧山区永泰名苑,73
西湖区求是村,28
拱墅区新青年广场,32
余杭区东田擎天半岛,107
萧山区朝阳银座,73
滨江区世茂智慧之门,45
余杭区都市港湾,96
下城区海辰水岸晶座,60
萧山区广聚公寓,64
拱墅区风景大院,47
西湖区天阳云筑,84
萧山区华瑞湘湖美地,53
余杭区金鼎阳光公寓,108
西湖区莲花港家园,52
萧山区新华缘,71
上城区惠民苑小区,29
江干区德信大家钱江府,35
下城区三塘竹园,44
江干区宋都时间国际,48
余杭区福临花苑,99
萧山区金城花园,70
萧山区丽晶国际,53
余杭区绿城蓝庭东区,82
下城区三华园,16
下城区皇亲苑,16
拱墅区长乐北苑,37
余杭区伊世纪城市花园,89
拱墅区浅水湾城市花园,26
上城区河坊街小区,36
余杭区微博公馆,84
下城区田逸之星,67
江干区金禾嘉苑,48
萧山区德意空港国际,102
江干区福雷德广场艾肯金座,57
江干区三里新城橘苑,36
萧山区金马飞鸟集,71
萧山区天汇园,68
江干区百大绿城西子国际,35
萧山区开元名郡,75
西湖区登新公寓,39
西湖区政苑小区,54
上城区复兴南苑,50
余杭区浙富西溪堂,99999999999
萧山区丰北三苑,58
西湖区富丽花园(西湖),42
江干区机神新村,23
拱墅区亲仁里,45
江干区大世界五金城,46
滨江区缤纷北苑,47
萧山区东南钱江蓝湾,89
萧山区湖畔宽邸,66
下城区艮山上,22
西湖区学院路222号,35
萧山区盈一佳苑,49
江干区德信中外公寓,55
西湖区西溪佳苑,48
西湖区金都花园,44
拱墅区天阳美林湾,50
下城区思敬里,17
滨江区滨安小区,32
西湖区文三路52-1号,99999999999
西湖区紫桂花园,33
西湖区沁雅花园,41
余杭区钱塘梧桐蓝山,77
萧山区钱盛商厦梦公馆,67
西湖区西溪路505号,38
滨江区长江小区,70
江干区香滨湾花园,37
下城区绿洲花园,24
下城区新天地中心,50
下城区东园小区,31
西湖区嘉绿北苑,31
萧山区众安嘉润公馆,56
萧山区天香华庭,87
西湖区兰庭国际,27
下城区现代景苑,34
西湖区浙江油田留下小区,55
余杭区广厦天都城天熙公馆,99999999999
上城区近江家园六园,28
拱墅区北国之春人家,43
拱墅区杭钢西苑,57
拱墅区湖墅嘉园,31
拱墅区顺发吉祥半岛,39
西湖区金桂大厦,37
余杭区清合嘉园西区,103
江干区东方铭楼,52
下城区玄坛公寓,11
上城区尚筑金座,25
滨江区湖漫雅筑,59
滨江区江滨澜廷,39
西湖区绿城之江1号,65
余杭区恒合金座,65
萧山区宝盛世纪中心,51
江干区建塘家苑,70
西湖区文二路57号,30
江干区金隅观澜时代瀚庭,71
江干区紫玉名府,27
上城区阳光海岸,37
余杭区钱神花苑,70
西湖区府新花园东区,37
江干区宝龙云滨湾,72
下城区石板巷新村,30
拱墅区绿城西子田园牧歌,38
拱墅区大关西五苑,34
江干区新沙家园,58
西湖区白荡海社区,38
拱墅区东方福邸,56
江干区泊林印象,54
上城区华光路,22
萧山区名扬阁,80
萧山区兴耀星悦湾,113
余杭区朗诗未来街区东园,58
西湖区首开国风美域,43
下城区紫庭花园,24
上城区新工新村,44
余杭区福鼎家园,46
江干区运新花苑一区,39
滨江区君尚金座,50
滨江区临江花园,71
萧山区明怡花苑,54
西湖区云溪香山,79
江干区闸弄口农药厂宿舍,22
江干区东茂苑,28
江干区世茂江滨花园瑞景湾,75
滨江区滨兴小区西区,71
萧山区众安景海湾,84
下城区河罕上,30
西湖区栖霞岭,41
上城区美政花苑,52
下城区布店弄,21
萧山区江南明城金座,48
萧山区奇景家苑,83
西湖区新星小区,56
临安区锦尚唐宁郡,78
萧山区京奥名座,85
余杭区新丰小区,99
滨江区莱蒙水榭春天,51
西湖区丰盛九玺,60
萧山区新丽名苑,73
下城区宝善公寓,27
萧山区江南明城,52
下城区阳光银泰城,54
余杭区红联九漾华庭??东区,77
下城区中山北路365到375号,99999999999
萧山区憬天国际名座,84
西湖区翠苑一区,34
江干区明桂南苑,30
萧山区得力新和人家,77
西湖区保俶路97号,28
下城区横燕子弄,32
拱墅区哑巴弄,30
余杭区金都雅苑,51
西湖区莫干山路361号,26
萧山区嘉利公寓,81
江干区钱江三苑,42
江干区保利江语海,70
西湖区翠苑二区北区,42
上城区文华苑,29
滨江区燕语林森公寓,34
西湖区教工路131号,29
萧山区通惠丽港,62
拱墅区大关南八苑,38
上城区望江新园三园,46
西湖区松木场河东,25
滨江区滨康二苑,53
拱墅区香兰名院,41
富阳区容大五环城市花园,150
西湖区曲荷巷18号,38
萧山区水曲弄,60
拱墅区黄龙金茂悦,47
萧山区光明尚海湾,90
拱墅区裕兴苑,42
萧山区晶典公寓,84
萧山区绿都御景蓝湾,94
西湖区天目山路234号,37
西湖区花园北村,27
上城区秋涛南苑,41
江干区保利东湾,77
上城区清泰街小区,29
西湖区文溪鼎园,47
余杭区盛奥西溪铭座,64
西湖区府苑新村,40
江干区伊萨卡国际城鹭江园,59
西湖区同人精华,42
西湖区枫丹白露,76
萧山区佳境天城佳合苑,52
江干区滨江凯旋门,36
余杭区信达柳郡,82
西湖区启真名苑,28
拱墅区大关西四苑,37
滨江区江虹小区,58
西湖区文二路48号,32
江干区机场路137号,35
下城区潮王公寓,39
下城区长板里,29
拱墅区大关南五苑,39
富阳区水岸青云,155
西湖区阳光花园,39
萧山区美之园东区,59
余杭区合景映月台,61
上城区滨江钱塘印象,36
滨江区通策广场,58
拱墅区远东新月公寓,24
西湖区锦绣文苑,21
下城区法轮寺弄,18
上城区老浙大直路11-25号,99999999999
西湖区五洲国际广场,40
西湖区西溪名园,54
下城区西湖新城,17
上城区鸥江公寓,32
拱墅区广兴新村,32
江干区中豪七格,50
西湖区曙光路139号,33
江干区万家花园万和苑,32
上城区西湖八号公馆,36
西湖区嘉绿青苑,35
余杭区良熟新苑,72
余杭区星运丽园,84
滨江区白马湖小区白鹤苑,66
西湖区松溪公寓,27
余杭区力达易居时代,89
萧山区泰和花园,70
下城区体育场路470号,99999999999
江干区新城国际花园彩园,48
江干区广宇上东臻品,71
下城区联锦大厦,21
江干区新风丽都北苑,30
江干区闸弄口东村,37
江干区采荷小区玉荷邨,34
江干区龙湖名景台一期,71
余杭区金成英特学府,69
下城区滨河公寓,20
下城区工人新村,27
上城区新绿园,37
拱墅区莫干山路651号,41
萧山区银河商务公馆,99999999999
上城区严衙弄,28
余杭区荷花小区,104
余杭区竹径云山,96
余杭区青枫墅园鹭语别墅,99
上城区中山苑,29
江干区文晖铭园,30
萧山区东张家弄,72
拱墅区新华苑,51
拱墅区银都大厦,25
余杭区惠都家园,109
余杭区CBC时代大观,66
萧山区佳丰南苑,56
西湖区林语别墅,47
下城区武林路,12
余杭区广厦天都城天星苑,60
余杭区华元玉榕庄,75
滨江区潮人汇,63
余杭区景瑞御华府,94
上城区新城坊,46
江干区绿地华家池印,37
西湖区康乐香港城,42
余杭区金帝海珀二期,92
西湖区嘉华公寓,43
江干区钱塘航空大厦,36
江干区和谐嘉园南苑,43
江干区世茂天宸,35
萧山区江宁大厦,56
余杭区西城时代家园,76
萧山区高运莱茵传奇,55
萧山区仙家路,67
江干区明桂苑,33
西湖区龙湖水晶郦城,78
上城区金狮苑,41
上城区近江新村,45
拱墅区湖墅新村,29
滨江区之江花园,59
滨江区钱塘春晓大厦,31
江干区铭和苑桂雨坊,64
余杭区星雅嘉园逸景苑,67
萧山区龙湖旭辉春江悦茗,54
西湖区翠苑逸景湾,47
西湖区青芝坞,49
下城区绿城深蓝广场,17
下城区东河春晓,27
下城区中粮方圆府,47
滨江区天寓,45
下城区凤起苑,29
上城区金棕榈花园,48
下城区潮王人家,30
萧山区幸福时代公寓,57
江干区伊萨卡国际城浩泽园,70
江干区德信金泊林公寓,43
下城区东新园茗盛苑,51
西湖区万科西庐,60
上城区钱江时代公寓,48
拱墅区莫干山路558号,38
下城区北景园紫荆苑,58
江干区采荷街道商教苑社区,37
江干区万象城悦玺,42
拱墅区凤亭院,39
萧山区通惠南路298号,99999999999
萧山区杭齿宿舍,60
余杭区赞成龙兴道一号,88
拱墅区古新路,25
余杭区良渚文化村探梅里B,85
余杭区青枫墅园,100
江干区多蓝水岸碧海苑,71
余杭区凯文和平雅苑,103
江干区置鼎明珠1号,59
滨江区汉峰峰公馆,60
萧山区广和公寓,76
萧山区龙湖春江天玺,57
上城区赞成林风和风苑,38
江干区三里家园二区,50
下城区威乙巷,28
滨江区水印城,48
西湖区德雅花园,32
余杭区绿城风华苑,73
上城区小剪刀弄,42
萧山区学士桥小区,78
萧山区丰瑞北苑,66
余杭区众安理想湾,88
滨江区温馨人家,34
余杭区水车河弄,102
西湖区水木清华,58
西湖区上郡,43
上城区皇诰巷,28
下城区国都公寓,18
江干区多蓝水岸蓝波苑,76
下城区体育场路71-176号,99999999999
西湖区曙光新村,27
下城区王马巷,35
下城区六塘公寓,40
西湖区马塍路18号,24
下城区水岸雅苑,47
滨江区中兴花园,42
西湖区西溪诚园致诚苑,53
下城区打铁关新村,22
余杭区邱山小区,94
西湖区曙光路23号,26
余杭区理想西溪金座,49
江干区滨江城市之星,46
萧山区信融御金台,99999999999
下城区海狮沟,33
滨江区龙湖春江彼岸,50
拱墅区和新北苑,33
上城区丰禾巷,35
下城区仙林苑,20
余杭区月欣花苑,90
拱墅区德胜巷108号,38
江干区朗诗国际街区,66
西湖区慧仁家园北区,53
江干区后珠美邻嘉苑,65
余杭区仓溢绿苑,84
余杭区万科未来城二期,63
江干区景芳二区,27
余杭区绿野春天家园,83
拱墅区德信臻园,43
下城区景湖苑,12
滨江区江涛阁,50
西湖区富丽苑,35
滨江区长虹苑,75
上城区金隅学府,47
西湖区新世纪花苑,46
余杭区广厦天都城蓝调公寓,62
江干区保利湾天地,73
江干区泰美国际大厦,49
江干区名城湖左岸,55
西湖区西城博司,74
下城区柳营花园东区,33
余杭区东湖中路175号,85
萧山区顺丰家园,58
江干区丁桥景园北苑,57
上城区华龙家园,48
西湖区桂花城,36
下城区东园巷,32
拱墅区大关东六苑,39
下城区万家星城,50
西湖区乾成园,74
余杭区枫桥庭,67
西湖区银马公寓,25
西湖区桃花弄,21
下城区长木新村,43
上城区清怡花苑,46
江干区月雅苑,51
江干区同方国际,40
下城区小北门,10
江干区丁桥颐景园,60
萧山区育才西苑,80
江干区和睦路7号,54
西湖区莫干山路593号,39
拱墅区信义坊,27
江干区新江花园,38
余杭区太炎花苑,73
拱墅区莫干新村,23
拱墅区湖墅南路99号,20
萧山区文化路159号,99999999999
余杭区理想康城国际,81
江干区湾南德盛东苑,70
西湖区溪畔花园,36
拱墅区武林公寓,14
下城区绿洲吉家,23
萧山区威尼斯水城,54
西湖区嘉绿景苑东园,55
萧山区恒大帝景,91
上城区赞成林风沁林苑,35
江干区新城时代广场,34
余杭区新明半岛,66
西湖区耀江文欣大厦,29
余杭区怡景花城鸣翠苑,57
余杭区新西湖小镇,91
江干区左邻右舍,49
拱墅区景上公寓,31
萧山区一方大厦,53
江干区浙江大学华家池校区,35
萧山区开元广场,74
余杭区杭州宏丰家居城宏丰公寓,51
下城区洑家弄,26
江干区原筑壹号,62
拱墅区吉庆院,36
萧山区九悦江南,74
江干区景芳东区,40
余杭区书林苑,69
下城区亿城雅苑,59
萧山区绿都南江壹号,79
拱墅区大关东三苑,38
余杭区万科良渚文化村秋荷坊,84
下城区新天地世嘉新座,52
萧山区怡佳公寓,69
江干区东方丽都花苑,37
西湖区山水人家清水湾,32
萧山区三江花园(萧山),71
余杭区万科缦云坊,93
下城区泰地北上新城,60
江干区阳光城普升,49
下城区三塘北村,41
余杭区同城印象花苑东区,84
余杭区三墩景溪南苑,99999999999
滨江区滨康小区,73
江干区滨江曙光之城,37
余杭区闲林山水梅兰苑,59
萧山区湘湖九号,76
余杭区上实海上海,61
江干区滨江德信东方星城,44
西湖区厚诚公寓,60
西湖区聚丰公寓,36
江干区宋都凯旋苑,36
拱墅区蚕花园永庆坊,43
余杭区绿城桃源小镇,59
萧山区新南郡嘉苑,88
滨江区中兴和园,65
萧山区金满府,109
江干区水湘人家南苑,39
下城区西文西苑,39
上城区清河家园,47
下城区朝晖七区,31
富阳区铭鹤花园,80
江干区后珠辰秀嘉园,66
江干区铭和苑柳翠坊,58
江干区元成时代中心,73
萧山区北辰奥园,67
江干区濮家新村,24
滨江区金铂湾,41
下城区环城东路298-311号,99999999999
余杭区星雅嘉园逸品苑,71
滨江区铂金时代公寓,33
下城区艮山福居,18
西湖区外东山弄,33
滨江区瑞立东方花城,35
西湖区宝嘉誉府,56
拱墅区祥符路,53
上城区钱江苑,46
滨江区景江苑,48
西湖区湖畔花园春晓苑,37
萧山区中誉万豪广场,50
江干区农科院社区,49
西湖区世贸丽晶城欧美中心,27
余杭区佳肴弄,83
上城区凤凰南苑,38
萧山区丰盛大厦,52
西湖区绿城兰桂花园,42
西湖区黄龙世纪苑,19
富阳区富春如意花园,141
拱墅区蚕花园永安坊,44
西湖区三墩颐景园,50
西湖区武林巷5-28号,99999999999
拱墅区和睦坊,32
余杭区星运丽园兰逸,89
萧山区湖畔宽邸中央郡,55
滨江区钱塘大观,75
萧山区万向城市花园,66
下城区凤起桥河下,14
西湖区耀江文萃苑,27
江干区金地格林格林,67
下城区北景园水镜苑,60
西湖区龙申剑桥公社,40
江干区天城路60-8号,43
余杭区富力新线公园,71
西湖区东日晴好,89
上城区春江花月,44
萧山区绿都金域东方,96
富阳区九龙山庄,107
余杭区广厦天都城天风苑,62
江干区京惠花园,22
上城区民生路,25
江干区保利鹭沙郡府,80
江干区天阳凤起,44
余杭区广厦天都城天泉苑,53
余杭区和合财富中心,78
下城区朝晖四区,27
萧山区绿都四季花城,74
萧山区荣星东苑,69
下城区天园阁,31
西湖区港湾家园,57
上城区万安城市花园东苑,23
余杭区望城,69
萧山区万科大家世纪之光,64
拱墅区新华园,28
江干区采荷路47号,37
江干区新塘家园东区,39
萧山区北干二苑,65
西湖区西苑小区(西湖),55
余杭区良渚文化村白鹭郡北,82
西湖区里东山弄,31
余杭区南安新苑,71
萧山区文化路5号,64
余杭区东田玉城,80
上城区西湖大道261、263、265号,21
西湖区坤和和家园,67
拱墅区凯德视界,40
余杭区西溪华东园,71
西湖区南都德迦东区,36
萧山区正元都市阳光,55
滨江区兴盛花园,43
拱墅区普金家园,42
余杭区临平桂花城南区,87
余杭区佳兆业君汇上品,51
西湖区梧桐公寓,36
西湖区西溪河下78号,42
上城区金隆花园,26
上城区凤凰山脚路,46
下城区朝晖二区,22
江干区锦江半岛,54
拱墅区九龙仓珑玺,51
江干区三里亭苑四区,48
拱墅区金地繁华里,55
西湖区翰墨香林苑,49
余杭区福田花园,75
江干区金色黎明二期,62
下城区三塘汶园,44
江干区红树林花园,28
滨江区缤纷小区,44
西湖区曙光路158号,29
拱墅区崇盛里,40
滨江区欣盛东方郡东区,36
江干区鑫运时代金座,44
萧山区人民路204号,67
西湖区翠苑东二区,42
江干区美达浅草名苑,43
滨江区江南文苑,57
余杭区北庙北弄,88
西湖区华苑公寓,34
下沙区宝龙城市广场,67
江干区新风丽都南苑,30
西湖区华远大厦,31
余杭区怡景花城,55
余杭区碧景园,66
西湖区府新花园西区,42
拱墅区万通中心,35
拱墅区都市水乡水涟苑,43
西湖区宝石二路8号,29
上城区紫花苑,51
西湖区云栖蝶谷,56
萧山区汇宇和庭,78
上城区檀香园,33
西湖区曙光路101号,30
拱墅区渡驾新村,54
下城区后营弄,5
萧山区商城西村,82
江干区红街天城公寓,34
萧山区东裕华庭,137
拱墅区依锦苑,43
余杭区通济路1-12号,79
萧山区南润名座,67
余杭区野风启城,109
余杭区汀洲花苑北,85
滨江区浙新小区,59
萧山区金域兰庭,97
滨江区迎春南苑,41
西湖区厚诚路26号,54
余杭区祥盛家园,86
拱墅区锦昌文华苑,42
下城区直戒坛寺巷,7
西湖区上宁新村,26
萧山区宁泰家园,80
江干区居安坊,44
拱墅区米市巷,28
萧山区城中花园(萧山),59
下城区三塘高层公寓,47
拱墅区星河明苑,19
拱墅区万家花城二期,59
西湖区金田花园,41
余杭区凤凰家园,70
拱墅区融信学院府,52
萧山区北干一苑,67
余杭区泊悦府,68
拱墅区大兜路198号,41
西湖区望月公寓,49
上城区三元坊巷,18
萧山区南市花园,65
西湖区黄姑山路22号,33
拱墅区长乐路20弄,38
余杭区后横弄,101
下城区林司后,30
西湖区毛家桥公寓,34
滨江区钱塘玫瑰湾,62
西湖区富越香溪,61
拱墅区中国铁建国际汇,61
西湖区万美摩登中心,86
拱墅区远洋公馆绿园,36
江干区景芳水湘苑,37
余杭区紫竹人家,73
萧山区湘湖人家,78
萧山区金浦明苑东区,73
西湖区山水人家香溪地,37
拱墅区万家花城一期,59
下城区灯塔新村,46
江干区三堡东苑,38
下城区德胜路177号,59
萧山区明华明辉花园,70
上城区积善坊巷,25
下城区环城北路六弄,26
上城区康都紫轩,43
萧山区顺发美哉美城,58
余杭区湖山帝景湾南苑,80
江干区新城红郡,58
下城区东新府,50
余杭区合景瑜翠园,89
江干区蓝桥名苑,45
萧山区南门江住宅区,70
萧山区凯丽晶座,85
下城区马家弄21.22.25号,30
西湖区嘉绿名苑,34
下城区孩儿巷,17
西湖区文二路70号,31
西湖区金欣公寓,45
萧山区湖山春晓家园北区,99999999999
江干区金牛坊,34
江干区晨光绿苑南苑,42
拱墅区中环大厦,26
拱墅区和睦新村,42
余杭区禹航路,68
上城区江城路216号,46
余杭区理想世纪金座,76
上城区望江家园西园,27
下城区三塘南村,36
上城区望江新丰苑,42
江干区和谐嘉园东苑,46
江干区天城府,39
滨江区东和云第,63
西湖区香樟公寓,40
下城区树园,26
下城区北景园菊香苑,57
江干区花圃铁路新村,35
西湖区嘉绿文苑,38
下城区黎明园,25
余杭区经纬玲珑家园,98
江干区盛世钱塘,60
余杭区东安景苑,83
江干区龙湖滟澜山茗轩南区三期,53
余杭区赛银国际广场,60
江干区杰立公馆,31
下城区流水东苑,28
萧山区金苑大厦,67
余杭区中交悦西溪,51
余杭区超峰小区,90
临安区江南佳苑,117
余杭区西溪君庐,72
拱墅区大关南九苑,38
滨江区镇前路77号,99999999999
下城区长木里,50
江干区郡枫绿园东区,61
萧山区中国铁建青秀城,55
滨江区绿城明月江南,46
拱墅区都市水乡水曲苑,45
西湖区体育场路466号,15
拱墅区沈塘东村,18
萧山区广德小区,71
西湖区颐景园,37
萧山区三江新村,74
拱墅区宋都香悦郡,57
拱墅区芳满庭,59
西湖区天目山路101号,29
余杭区广厦天都城爵士花园,77
江干区金沙居,61
上城区涌金花园,23
余杭区新湖果岭,98
拱墅区蚕花园永和坊,45
拱墅区联合畔上居,40
临安区筑境花园,115
余杭区融创瑷颐湾,61
下城区艮园社区,28
拱墅区叶青苑,26
西湖区中海定山府,87
余杭区大美公寓,63
余杭区合景天峻,66
萧山区香山四季公馆,74
西湖区武林花园,24
西湖区科技新村,35
江干区景芳新五区,38
萧山区馨星大厦,84
西湖区南都德迦西区,32
拱墅区大浒东苑,39
西湖区学苑春晓,44
拱墅区娑婆新村,29
西湖区白荡海人家,38
萧山区广泽小区,101
滨江区南都江滨花园,57
西湖区西溪晴雪,50
萧山区绿茵园小区,62
上城区绿城蓝色钱江,41
江干区万象城悦府,44
余杭区春风江南府,89
拱墅区都景公寓,41
富阳区万安秀水山庄,103
西湖区大家之江悦,74
江干区克拉公馆,46
江干区文苑风情,55
萧山区郡望府,81
下城区岳家湾,27
萧山区发展公寓,78
上城区永昌坝,43
下城区三塘桂园,43
西湖区黄姑山小区,30
下城区现代家园,22
余杭区东海闲湖城,55
滨江区银色港湾公寓,58
江干区采荷小区红菱邨,34
上城区小营民居,38
西湖区文二路166号,25
上城区融创大家侯潮府,40
余杭区爱丁郡,76
江干区笕东嘉苑,46
余杭区海澜半岛,67
下城区漾河人家,44
余杭区棠梨家园,63
拱墅区凯德龙湾,38
江干区万科大都会79号,55
拱墅区大关东五苑,37
拱墅区大家运河之星,89
江干区龙湖名景台二期,63
萧山区丰北二苑,57
下城区石板巷,30
余杭区亿丰蔚蓝郡,60
余杭区西溪蓝海,64
西湖区同仁家园金河湾,71
拱墅区拱苑小区,49
萧山区万众名府,76
拱墅区贾家弄,29
下城区京都苑,32
拱墅区名城燕园,37
余杭区万宝城,90
上城区北落马营6号,43
西湖区玉古路139号,40
上城区惠民路,33
滨江区印月尚庭,63
江干区中旅城仕公馆,74
下城区天堂园社区纺织厂宿舍,52
江干区闸弄口新村,35
萧山区新农都公馆一区,76
西湖区教工路138号,23
萧山区金域三江,82
下城区豆腐巷,20
余杭区新城山语院,81
萧山区盛元蓝爵国际,66
江干区新元金沙家园,52
拱墅区天鸿香榭里,66
滨江区万科璞悦湾,66
萧山区新世界柏丽轩,69
滨江区长河商厦,79
上城区江城路316号,40
余杭区新城西溪逸境,61
江干区南肖埠社区,33
拱墅区白马公寓,14
下城区社坛苑,14
西湖区西溪路521号,38
江干区观澜时代云邸苑,70
江干区金隅观澜时代天筑,71
滨江区龙禧大酒店,63
余杭区东湖公寓,82
江干区头格江景家园一区,50
江干区万科草庄,40
余杭区黄鹤山居,72
下城区广电雅苑,54
江干区南肖埠小区庆春苑,35
江干区景冉佳园,72
余杭区富力十号院,72
拱墅区和睦公寓,46
萧山区众安朝阳8号,73
下城区东清大厦,33
西湖区花园西村,27
下城区天堂园汽轮宿舍,50
余杭区广厦天都城天漾,64
拱墅区正兴堂弄,31
萧山区绿城丁香公馆,62
拱墅区荣华里,43
西湖区金街美地,75
上城区保安桥河下,38
上城区凤山花苑,39
江干区观音塘小区,33
滨江区中奥江锦国际,53
上城区怡和苑,32
滨江区白马湖小区孔雀苑,84
萧山区市北公寓,61
西湖区世贸丽晶城,28
拱墅区三宝新村,33
西湖区马塍路16号,24
上城区海运国际大厦,49
江干区闻皇庙社区,36
下城区玄坛弄,9
萧山区江南摩卡,70
西湖区文亭公寓,40
余杭区恒基旭辉府,89
江干区华元十六街区,55
江干区玺之湾,50
余杭区赞成香颂一期,88
西湖区曙光路123号,32
上城区华藏寺巷,27
上城区定安苑,17
萧山区绿都百瑞广场,51
萧山区中誉现代城,79
西湖区教工路65号院,31
下城区中山北路421号,8
余杭区临城花苑,84
下城区朝晖八区,33
拱墅区登云阁,45
西湖区小和山林野山居,52
拱墅区天时苑(拱墅),99999999999
余杭区西溪永乐城,65
拱墅区锦绣新村,26
萧山区顺发和美家,45
江干区世茂东壹号,41
下城区流水北苑,27
滨江区铂金名筑,77
江干区九月庭院,57
江干区采荷小区青莼邨,36
余杭区奥克斯缔逸城,53
江干区龙湖滟澜星座,44
余杭区爵士风情花园,59
江干区东方君悦,42
滨江区风尚蓝湾,72
下城区西子大厦,8
余杭区亲亲家园一期,58
江干区明桂北苑,32
西湖区同仁家园,72
江干区采荷小区紫藕邨,38
萧山区三水一生,80
余杭区绿城翡翠湾,71
江干区和达城,51
拱墅区大关西七苑,36
余杭区丰梅路10-21号,99999999999
西湖区名仕家园,40
江干区地铁绿城杨柳郡,33
西湖区爱尚里,76
拱墅区左岸花园,47
萧山区怡和公寓,65
余杭区华元西溪欢乐城,58
上城区万松岭路88号,99999999999
西湖区青石桥24幢,36
萧山区万科金辰之光,48
西湖区浙江工业大学之江校区宿舍,99999999999
江干区海棠公寓,55
江干区绿城财通中心,47
西湖区秀月家园北区,43
江干区后珠家苑,58
上城区五圣堂,35
江干区东亚新干线,35
余杭区月光苑,100
拱墅区莱德绅华府,50
萧山区君悦丽景,50
上城区清泰南苑,45
拱墅区方正御星,60
江干区后珠辰秀嘉园南区,66
西湖区山水人家彩云天,36
拱墅区远洋公馆,37
余杭区东厦东港花苑,86
滨江区锦绣江南,55
余杭区东海花园,70
西湖区西溪诚园明礼苑,51
西湖区星洲花园格兰馨芦,37
滨江区荣安望江南,45
拱墅区绿城运河郡,57
下城区屏风苑小区,13
萧山区顺发旺角城二期,65
萧山区合丰新业大厦,66
萧山区回澜北园,75
滨江区中天官河锦庭,36
余杭区君临阁,73
萧山区心意广场,67
余杭区金都西花庭,85
余杭区通怡花苑,66
江干区采荷路35号,41
下城区云龙十一景,34
萧山区恒逸南岸明珠,54
西湖区白马尊邸,54
拱墅区香积寺巷,32
余杭区昆仑府,71
江干区阳光景台公寓,57
上城区世纪坊,31
江干区三里新城荷苑,38
拱墅区大关南七苑,42
萧山区琅琴湾,92
下城区新华路小区,27
余杭区欣龙华府公寓,73
拱墅区小河路365号,99999999999
江干区宋都阳光国际,50
上城区柳营新村,27
西湖区紫荆欣苑,36
余杭区南苑二区(余杭),65
拱墅区德胜路318号,36
萧山区家乐公寓,68
西湖区紫林公寓,49
下城区重机巷,45
江干区北银公寓,65
萧山区绿城九龙仓钱塘明月,68
余杭区润和西溪郡,62
余杭区良渚文化村春漫里,82
上城区祠堂巷,27
下城区杭钢宿舍,47
上城区水岸枫庭,35
余杭区岸上蓝山,55
萧山区佳境天城天合苑,50
江干区万家花园欣和苑,32
下城区万寿亭街小区,7
拱墅区南北西岸,45
江干区万科中央公园,41
